route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RINFRA-801-1_Weekday-17,46663062,,0,112,801NB_120323
801,RINFRA-801-1_Weekday-17,46663063,,0,114,801NB_120323
801,RINFRA-801-1_Weekday-17,46663064,,0,115,801NB_120323
801,RINFRA-801-1_Weekday-17,46663065,,0,116,801NB_120323
801,RINFRA-801-1_Weekday-17,46663066,,0,117,801NB_120323
801,RINFRA-801-1_Weekday-17,46663067,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-17,46663068,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-17,46663069,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-17,46663070,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-17,46663071,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-17,46663072,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-17,46663073,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-17,46663074,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-17,46663075,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-17,46663076,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-17,46663077,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-17,46663078,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-17,46663079,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-17,46663080,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-17,46663081,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-17,46663082,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-17,46663083,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-17,46663084,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-17,46663085,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-17,46663086,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-17,46663087,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-17,46663088,,0,119,801NB_120323
801,RINFRA-801-1_Weekday-17,46663089,,0,120,801NB_120323
801,RINFRA-801-1_Weekday-17,46663090,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-17,46663091,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-17,46663092,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-17,46663093,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-17,46663094,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-17,46663095,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-17,46663096,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-17,46663097,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-17,46663098,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-17,46663099,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-17,46663100,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-17,46663101,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-17,46663102,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-17,46663103,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-17,46663104,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-17,46663105,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-17,46663106,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-17,46663107,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-17,46663108,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-17,46663109,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-17,46663110,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-17,46663111,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-17,46663112,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-17,46663113,,1,116,801SB_120323
801,RINFRA-801-1_Weekday-17,46663114,,1,115,801SB_120323
801,RINFRA-801-1_Weekday-17,46663115,,1,117,801SB_120323
801,RINFRA-801-1_Weekday-17,46663116,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-17,46663117,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-17,46663118,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-17,46663119,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-17,46663120,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-17,46663121,,0,111,801NB_120323
